DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,codigo_municipio,endereco,location,nao_considerados,nome_local,nome_munic,num_local,percentual_abstencoes,percentual_anulados,percentual_brancos,percentual_legenda,percentual_nominais,percentual_nulos,secao,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
111,124,107,397,JARDIM PRIMAVERA,25215250,58335,AV. JORNALISTA MOACYR PADILHA S/N,"AV. JORNALISTA MOACYR PADILHA S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",162,ESCOLA ESTADUAL MINAS GERAIS,DUQUE DE CAXIAS,1139,0.27,0.0,0.03,0.0,0.59,0.11,88,0,13,0,235,42,126
99,93,68,310,GRAMACHO,25035250,58335,AV. DARCY VARGAS 21,"AV. DARCY VARGAS 21, GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",118,ESCOLA MUNICIPAL CORA CORALINA (ANTIGA THIAGO APOSTOLO),DUQUE DE CAXIAS,1120,0.22,0.0,0.04,0.0,0.62,0.13,73,0,11,0,192,39,194
104,157,98,394,IMBARIÊ,25000000,58335,"RUA GOINDIRA, 379","RUA GOINDIRA, 379, IMBARIÊ, DUQUE DE CAXIAS, Rio de Janeiro",133,COLÉGIO ESTADUAL FERNANDO FIGUEIREDO,DUQUE DE CAXIAS,1031,0.25,0.0,0.03,0.0,0.66,0.06,11,0,11,0,261,24,127
166,106,113,442,JARDIM 25 DE AGOSTO,25071202,58335,"RUA PROF. JOSÉ DE SOUZA HERDY, 1160","RUA PROF. JOSÉ DE SOUZA HERDY, 1160, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",170,UNIGRANRIO,DUQUE DE CAXIAS,1015,0.26,0.0,0.03,0.0,0.62,0.1,199,0,14,0,272,43,66
68,200,62,375,VILA BONANÇA,25000000,58335,RUA JOAO SANTOS SOBRINHO 16,"RUA JOAO SANTOS SOBRINHO 16, VILA BONANÇA, DUQUE DE CAXIAS, Rio de Janeiro",107,ESCOLA MUNICIPAL BRASILIA,DUQUE DE CAXIAS,1163,0.17,0.0,0.03,0.0,0.71,0.09,145,0,11,0,268,34,128
160,85,89,371,JARDIM 25 DE AGOSTO,25075015,58335,"RUA MAJOR CORRÊA DE MELO, 86","RUA MAJOR CORRÊA DE MELO, 86, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",126,ESTÁCIO,DUQUE DE CAXIAS,1090,0.24,0.0,0.03,0.0,0.66,0.07,162,0,10,0,245,27,66
96,157,93,382,CIDADE DOS MENINOS,25233000,58335,AV. PRESIDENTE KENNEDY KM 12,"AV. PRESIDENTE KENNEDY KM 12, CIDADE DOS MENINOS, DUQUE DE CAXIAS, Rio de Janeiro",129,ESCOLA ESTADUAL ASSIS CHATEAUBRIAND,DUQUE DE CAXIAS,1074,0.24,0.0,0.01,0.0,0.66,0.08,35,0,4,0,253,32,79
73,176,109,397,SANTA CRUZ DA SERRA,25255070,58335,RUA ALAGOAS S/N,"RUA ALAGOAS S/N, SANTA CRUZ DA SERRA, DUQUE DE CAXIAS, Rio de Janeiro",148,ESCOLA MUNICIPAL ROTARY,DUQUE DE CAXIAS,1040,0.27,0.0,0.03,0.0,0.63,0.07,14,0,12,0,249,27,128
111,123,76,362,SANTA LÚCIA,25271080,58335,"RUA URUBÁ, 30","RUA URUBÁ, 30, SANTA LÚCIA, DUQUE DE CAXIAS, Rio de Janeiro",128,ESCOLA ESTADUAL OPERÁRIO JOÃO VICENTE,DUQUE DE CAXIAS,1368,0.21,0.0,0.05,0.0,0.65,0.1,239,0,17,0,234,35,127
105,142,111,393,JARDIM GRAMACHO,25056070,58335,RUA FREI CANECA 98,"RUA FREI CANECA 98, JARDIM GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",146,COLÉGIO ESTADUAL ÁLVARO NEGROMONTE,DUQUE DE CAXIAS,1139,0.28,0.0,0.04,0.0,0.63,0.05,56,0,14,0,247,21,78
