DICA,WASHINGTON REIS,abstencoes,aptos,bairro,cep,endereco,lat,location,lon,nao_considerados,nome_local,nome_munic,num_local,secoes,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
931,906,791,3143,JARDIM PRIMAVERA,25215250,AV. JORNALISTA MOACYR PADILHA S/N,-22.68571,"AV. JORNALISTA MOACYR PADILHA S/N, JARDIM PRIMAVERA, DUQUE DE CAXIAS, Rio de Janeiro",-43.27158,1306,ESCOLA ESTADUAL MINAS GERAIS,DUQUE DE CAXIAS,1139,8,0,109,0,1837,406,126
508,589,450,1782,GRAMACHO,25035250,AV. DARCY VARGAS 21,-22.7593473,"AV. DARCY VARGAS 21, GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3038361,685,ESCOLA MUNICIPAL CORA CORALINA (ANTIGA THIAGO APOSTOLO),DUQUE DE CAXIAS,1120,6,0,50,0,1097,185,194
1058,1868,1151,4673,IMBARIÊ,25000000,"RUA GOINDIRA, 379",-22.6384356,"RUA GOINDIRA, 379, IMBARIÊ, DUQUE DE CAXIAS, Rio de Janeiro",-43.2181297,1747,COLÉGIO ESTADUAL FERNANDO FIGUEIREDO,DUQUE DE CAXIAS,1031,13,0,180,0,2926,416,127
1348,1110,1198,4178,JARDIM 25 DE AGOSTO,25071202,"RUA PROF. JOSÉ DE SOUZA HERDY, 1160",-22.7931337,"RUA PROF. JOSÉ DE SOUZA HERDY, 1160, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",-43.2987189,1720,UNIGRANRIO,DUQUE DE CAXIAS,1015,11,0,103,0,2458,419,66
346,935,280,1755,VILA BONANÇA,25000000,RUA JOAO SANTOS SOBRINHO 16,-22.7463902,"RUA JOAO SANTOS SOBRINHO 16, VILA BONANÇA, DUQUE DE CAXIAS, Rio de Janeiro",-43.3082382,474,ESCOLA MUNICIPAL BRASILIA,DUQUE DE CAXIAS,1163,5,0,48,0,1281,146,128
696,442,483,1831,JARDIM 25 DE AGOSTO,25075015,"RUA MAJOR CORRÊA DE MELO, 86",-22.7959806,"RUA MAJOR CORRÊA DE MELO, 86, JARDIM 25 DE AGOSTO, DUQUE DE CAXIAS, Rio de Janeiro",-43.3010355,693,ESTÁCIO,DUQUE DE CAXIAS,1090,5,0,51,0,1138,159,66
917,1222,880,3377,CIDADE DOS MENINOS,25233000,AV. PRESIDENTE KENNEDY KM 12,-22.66817,"AV. PRESIDENTE KENNEDY KM 12, CIDADE DOS MENINOS, DUQUE DE CAXIAS, Rio de Janeiro",-43.3287,1238,ESCOLA ESTADUAL ASSIS CHATEAUBRIAND,DUQUE DE CAXIAS,1074,9,0,88,0,2139,270,79
626,1677,747,3542,SANTA CRUZ DA SERRA,25255070,RUA ALAGOAS S/N,-22.6429,"RUA ALAGOAS S/N, SANTA CRUZ DA SERRA, DUQUE DE CAXIAS, Rio de Janeiro",-43.28141,1239,ESCOLA MUNICIPAL ROTARY,DUQUE DE CAXIAS,1040,9,0,116,0,2303,376,128
1046,1170,800,3547,SANTA LÚCIA,25271080,"RUA URUBÁ, 30",-22.6308657,"RUA URUBÁ, 30, SANTA LÚCIA, DUQUE DE CAXIAS, Rio de Janeiro",-43.2113055,1331,ESCOLA ESTADUAL OPERÁRIO JOÃO VICENTE,DUQUE DE CAXIAS,1368,10,0,157,0,2216,374,127
840,1164,784,3134,JARDIM GRAMACHO,25056070,RUA FREI CANECA 98,-22.7668672,"RUA FREI CANECA 98, JARDIM GRAMACHO, DUQUE DE CAXIAS, Rio de Janeiro",-43.2853972,1130,COLÉGIO ESTADUAL ÁLVARO NEGROMONTE,DUQUE DE CAXIAS,1139,8,0,98,0,2004,248,78
