data,hora,ano,turno,descricao,uf,ue,codigo_municipio,nome_municipio,zona,secao,codigo_cargo,cargo,aptos,comparecimento,abstencoes,votos_nominais,votos_brancos,votos_nulos,votos_legenda,votos_anulados
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,88,11,PREFEITO,397,290,107,235,13,42,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,194,73,11,PREFEITO,310,242,68,192,11,39,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,11,11,PREFEITO,394,296,98,261,11,24,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,199,11,PREFEITO,442,329,113,272,14,43,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,128,145,11,PREFEITO,375,313,62,268,11,34,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,66,162,11,PREFEITO,371,282,89,245,10,27,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,35,11,PREFEITO,382,289,93,253,4,32,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,128,14,11,PREFEITO,397,288,109,249,12,27,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,239,11,PREFEITO,362,286,76,234,17,35,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,78,56,11,PREFEITO,393,282,111,247,14,21,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,126,22,11,PREFEITO,396,300,96,251,13,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,194,117,11,PREFEITO,393,324,69,261,17,46,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,103,272,11,PREFEITO,216,174,42,158,5,11,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,565,11,PREFEITO,363,283,80,237,10,36,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,79,381,11,PREFEITO,338,268,70,231,8,29,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,200,85,11,PREFEITO,301,214,87,182,8,24,0,0
01/11/2016,14:37:16,2016,2,ELEICOES MUNICIPAIS 2016,RJ,58335,58335,DUQUE DE CAXIAS,127,256,11,PREFEITO,124,106,18,91,5,10,0,0
