DICA,WASHINGTON REIS,abstencoes,aptos,codigo_municipio,nao_considerados,percentual_abstencoes,percentual_anulados,percentual_brancos,percentual_legenda,percentual_nominais,percentual_nulos,secao,votos_anulados,votos_brancos,votos_legenda,votos_nominais,votos_nulos,zona
111,124,107,397,58335,162,0.27,0.0,0.03,0.0,0.59,0.11,88,0,13,0,235,42,126
99,93,68,310,58335,118,0.22,0.0,0.04,0.0,0.62,0.13,73,0,11,0,192,39,194
104,157,98,394,58335,133,0.25,0.0,0.03,0.0,0.66,0.06,11,0,11,0,261,24,127
166,106,113,442,58335,170,0.26,0.0,0.03,0.0,0.62,0.1,199,0,14,0,272,43,66
68,200,62,375,58335,107,0.17,0.0,0.03,0.0,0.71,0.09,145,0,11,0,268,34,128
160,85,89,371,58335,126,0.24,0.0,0.03,0.0,0.66,0.07,162,0,10,0,245,27,66
96,157,93,382,58335,129,0.24,0.0,0.01,0.0,0.66,0.08,35,0,4,0,253,32,79
73,176,109,397,58335,148,0.27,0.0,0.03,0.0,0.63,0.07,14,0,12,0,249,27,128
111,123,76,362,58335,128,0.21,0.0,0.05,0.0,0.65,0.1,239,0,17,0,234,35,127
105,142,111,393,58335,146,0.28,0.0,0.04,0.0,0.63,0.05,56,0,14,0,247,21,78
107,144,96,396,58335,145,0.24,0.0,0.03,0.0,0.63,0.09,22,0,13,0,251,36,126
134,127,69,393,58335,132,0.18,0.0,0.04,0.0,0.66,0.12,117,0,17,0,261,46,194
115,43,42,216,58335,58,0.19,0.0,0.02,0.0,0.73,0.05,272,0,5,0,158,11,103
137,100,80,363,58335,126,0.22,0.0,0.03,0.0,0.65,0.1,565,0,10,0,237,36,79
134,97,70,338,58335,107,0.21,0.0,0.02,0.0,0.68,0.09,381,0,8,0,231,29,79
113,69,87,301,58335,119,0.29,0.0,0.03,0.0,0.6,0.08,85,0,8,0,182,24,200
22,69,18,124,58335,33,0.15,0.0,0.04,0.0,0.73,0.08,256,0,5,0,91,10,127
